Código UF;Unidade da Federação;UF;Código Meso;Mesoregião
11;Rondônia;RO;1101;Madeira-Guaporé
11;Rondônia;RO;1102;Leste Rondoniense
12;Acre;AC;1201;Vale do Juruá
12;Acre;AC;1202;Vale do Acre
13;Amazonas;AM;1301;Norte Amazonense
13;Amazonas;AM;1302;Sudoeste Amazonense
13;Amazonas;AM;1303;Centro Amazonense
13;Amazonas;AM;1304;Sul Amazonense
14;Roraima;RR;1401;Norte de Roraima
14;Roraima;RR;1402;Sul de Roraima
15;Pará;PA;1501;Baixo Amazonas
15;Pará;PA;1502;Marajó
15;Pará;PA;1503;Metropolitana de Belém
15;Pará;PA;1504;Nordeste Paraense
15;Pará;PA;1505;Sudoeste Paraense
15;Pará;PA;1506;Sudeste Paraense
16;Amapá;AP;1601;Norte do Amapá
16;Amapá;AP;1602;Sul do Amapá
17;Tocantins;TO;1701;Ocidental do Tocantins
17;Tocantins;TO;1702;Oriental do Tocantins
21;Maranhão;MA;2101;Norte Maranhense
21;Maranhão;MA;2102;Oeste Maranhense
21;Maranhão;MA;2103;Centro Maranhense
21;Maranhão;MA;2104;Leste Maranhense
21;Maranhão;MA;2105;Sul Maranhense
22;Piauí;PI;2201;Norte Piauiense
22;Piauí;PI;2202;Centro-Norte Piauiense
22;Piauí;PI;2203;Sudoeste Piauiense
22;Piauí;PI;2204;Sudeste Piauiense
23;Ceará;CE;2301;Noroeste Cearense
23;Ceará;CE;2302;Norte Cearense
23;Ceará;CE;2303;Metropolitana de Fortaleza
23;Ceará;CE;2304;Sertões Cearenses
23;Ceará;CE;2305;Jaguaribe
23;Ceará;CE;2306;Centro-Sul Cearense
23;Ceará;CE;2307;Sul Cearense
24;Rio Grande do Norte;RN;2401;Oeste Potiguar
24;Rio Grande do Norte;RN;2402;Central Potiguar
24;Rio Grande do Norte;RN;2403;Agreste Potiguar
24;Rio Grande do Norte;RN;2404;Leste Potiguar
25;Paraíba;PB;2501;Sertão Paraibano
25;Paraíba;PB;2502;Borborema
25;Paraíba;PB;2503;Agreste Paraibano
25;Paraíba;PB;2504;Mata Paraibana
26;Pernambuco;PE;2601;Sertão Pernambucano
26;Pernambuco;PE;2602;São Francisco Pernambucano
26;Pernambuco;PE;2603;Agreste Pernambucano
26;Pernambuco;PE;2604;Mata Pernambucana
26;Pernambuco;PE;2605;Metropolitana de Recife
